results__id,device/id,device/url,HOSTNAME,device/display_name,result__name
b689997b-6ee0-4ff9-bd8f-0113812a5cf6,955a2e48-096d-432e-9679-fe8b25222ccd,http://10.66.69.142:8481/api/dcim/devices/955a2e48-096d-432e-9679-fe8b25222ccd/?format=json,AGSPXAGSCICU001,AGSPXAGSCICU001,Loopback0
ee73fe77-3527-4a40-87a9-a4780dcddfc0,955a2e48-096d-432e-9679-fe8b25222ccd,http://10.66.69.142:8481/api/dcim/devices/955a2e48-096d-432e-9679-fe8b25222ccd/?format=json,AGSPXAGSCICU001,AGSPXAGSCICU001,Loopback1
430d6459-d87c-4e17-9134-9b900ace1156,a2696a91-8828-430f-9d9a-2d148f3e793f,http://10.66.69.142:8481/api/dcim/devices/a2696a91-8828-430f-9d9a-2d148f3e793f/?format=json,ALF00634CICN001,ALF00634CICN001,Loopback0
a6f7adfd-733e-4182-9a42-856940c782b0,a2696a91-8828-430f-9d9a-2d148f3e793f,http://10.66.69.142:8481/api/dcim/devices/a2696a91-8828-430f-9d9a-2d148f3e793f/?format=json,ALF00634CICN001,ALF00634CICN001,Loopback1
e5997184-4c01-447f-978f-88c95988194b,4ca8dfcc-3f45-4146-87fe-633f64d9be52,http://10.66.69.142:8481/api/dcim/devices/4ca8dfcc-3f45-4146-87fe-633f64d9be52/?format=json,ALF00634CICN002,ALF00634CICN002,Loopback0
944277ac-0a47-4532-8ca5-a7b80f1acd24,4ca8dfcc-3f45-4146-87fe-633f64d9be52,http://10.66.69.142:8481/api/dcim/devices/4ca8dfcc-3f45-4146-87fe-633f64d9be52/?format=json,ALF00634CICN002,ALF00634CICN002,Loopback1
296d4e02-80f2-4441-ae89-f0d63e199685,5d33249d-f522-4f4c-9d9c-eb16a1f97d22,http://10.66.69.142:8481/api/dcim/devices/5d33249d-f522-4f4c-9d9c-eb16a1f97d22/?format=json,ALM00C07CICN001,ALM00C07CICN001,Loopback0
3161a9d9-3296-45fc-a41e-7b10bd0494b0,5d33249d-f522-4f4c-9d9c-eb16a1f97d22,http://10.66.69.142:8481/api/dcim/devices/5d33249d-f522-4f4c-9d9c-eb16a1f97d22/?format=json,ALM00C07CICN001,ALM00C07CICN001,Loopback1
9ea17b20-7d9c-4c07-869e-2fc9b27d5667,ebad80ba-4457-4efe-86bd-02660010b516,http://10.66.69.142:8481/api/dcim/devices/ebad80ba-4457-4efe-86bd-02660010b516/?format=json,ALM00C07CICN002,ALM00C07CICN002,Loopback0
f6c187ea-7a5a-476f-8e24-61fdb0b79373,ebad80ba-4457-4efe-86bd-02660010b516,http://10.66.69.142:8481/api/dcim/devices/ebad80ba-4457-4efe-86bd-02660010b516/?format=json,ALM00C07CICN002,ALM00C07CICN002,Loopback1
b14cab32-9e49-4cd1-9726-23d97b603ab7,30f765f3-a651-487a-8253-16e8fe8835c4,http://10.66.69.142:8481/api/dcim/devices/30f765f3-a651-487a-8253-16e8fe8835c4/?format=json,ALM00C07CICU001,ALM00C07CICU001,Loopback0
5524995a-0cf6-48ae-b356-b67bdbc423a7,30f765f3-a651-487a-8253-16e8fe8835c4,http://10.66.69.142:8481/api/dcim/devices/30f765f3-a651-487a-8253-16e8fe8835c4/?format=json,ALM00C07CICU001,ALM00C07CICU001,Loopback1
427ec3ab-7a67-455e-851f-d1fc3b13841e,9319a8d1-cd9d-4ef8-8377-a595d847013c,http://10.66.69.142:8481/api/dcim/devices/9319a8d1-cd9d-4ef8-8377-a595d847013c/?format=json,AOO00C08CICN01,AOO00C08CICN01,Loopback0
76666a0e-22bf-4397-b9b0-fbc1b75b8166,9319a8d1-cd9d-4ef8-8377-a595d847013c,http://10.66.69.142:8481/api/dcim/devices/9319a8d1-cd9d-4ef8-8377-a595d847013c/?format=json,AOO00C08CICN01,AOO00C08CICN01,Loopback1
